term, count in resource metadata
regional australia institute in[form] library,2081
information technology,1806
aboriginal australians,1444
hc-rp4,1217
housing,1207
cities and towns,1121
public health,1109
international relations,1078
employment,1036
hc-rp3,1023
urban policy,998
education,895
health,891
economic development,881
children,860
schools,808
climatic changes,782
youth,697
elections,696
crime,691
hc-rp1,681
human rights,676
economic policy,673
local government,630
education_higher,613
city planning,558
internet,537
social problems,534
economics,532
public administration,505
federal government,496
taxation,488
aboriginal australians--health,487
families,485
digital communications,484
communities,470
hc-rp2,469
hc-rt3,467
public policy,465
national security,458
well-being,455
power resources,429
diseases,428
population,425
military policy,420
medical policy,417
agriculture,414
refugees,402
water,402
social isolation,397
international trade,397
public welfare,397
transportation,387
labour,386
women,385
access to information,382
ageing,382
education--government policy,381
hc-rt2,379
mass media,377
democracy,373
torres strait islanders,373
mental health,372
industries,367
sustainability,365
family violence,353
aboriginal australians--government relations,348
law,337
people with disabilities,331
business,328
rural conditions,326
child welfare,322
poverty,320
land use,317
drugs,314
vocational education,309
regional development,308
hc-rt8,306
climate change mitigation,303
press,296
public infrastructure,295
homelessness,294
immigrants,291
emigration and immigration,291
community participation,290
terrorism,289
multiculturalism,288
alcohol,276
poor,275
social media,272
research,271
fv-1,269
budget,265
expenditures_public,261
armed forces,257
courts,255
technology,252
sustainability and the environment,251
hc-rt4,246
politics and government,245
housing policy,244
community development,243
students,241
human services,238
evaluation,237
education--curricula,237
libraries,236
rental housing,232
electricity,232
arts,227
broadband communication systems,226
parenting,225
teaching,225
domestic violence,223
state governments,223
renewable energy sources,222
natural resources,222
information resources management,221
hc-rt7,218
aged care,215
science,215
superannuation,214
government accountability,213
investments,213
industries--technological innovations,211
finance,211
law reform,210
diplomacy,210
hospitals,209
corporate governance,209
early childhood education,208
child protection,207
privacy,207
political parties,204
urban development,202
social change,202
work-life balance,201
environmental policy,201
technological innovations,199
energy policy,199
digital media,192
energy resources,188
environmental protection,187
child abuse,185
labour market,184
f h mckenzie collection,183
soac 6,182
economic indicators,181
citizenship,180
risk,178
universities and colleges,178
open access publishing,177
consumers,176
rural communities,174
energy consumption,173
business enterprises--technological innovations,173
communication,172
mining,172
farms,171
copyright,170
sustainable development,170
foreign relations administration,169
ecology,167
financial inclusion,164
soac 7,164
communication and technology,162
housing--prices,162
asylum_right of,160
publishers and publishing,160
trade regulation,159
social housing,157
literacy,157
competition,157
parliament,155
work,153
equality,153
income,153
business enterprises,153
international cooperation,153
auditing,153
social policy,152
police,152
health policy,150
mass media policy,150
election 2016,149
wages,149
indigenous peoples,149
regional planning,148
government policy,148
remote communities,147
political leadership,147
demography,146
journalism,142
unemployment,142
women--violence against,142
sex differences,142
data collection platforms,142
communication policy research forum 2007-11,141
violence,141
broadcasting,140
australian federal election policies 2016,139
low-income housing,139
financial services industry,139
medical care,138
soac 5,137
educational evaluation,137
carbon dioxide mitigation,137
disabilities,135
soac 8,134
reconciliation,134
housing affordability,133
culture,133
public transport,132
buildings,131
leadership,130
child development,130
retirement,128
energy industries,127
productivity,127
conflict management,126
older people,124
criminal justice_administration of,123
prisons,122
banks and banking,122
infrastructure (economics),121
strategic planning,121
education_secondary,121
creative workforce,121
big data,121
child sexual abuse,120
governance,119
scholarly publishing,119
urbanization,118
welfare recipients,118
government spending policy,117
cancer,115
drug abuse,114
education_primary,114
tourism,114
soac 4,113
environmental health,113
political culture,112
primary health care,112
corruption,112
policy reform,110
sports,110
digital communications--social aspects,110
research institutes,108
economic forecasting,108
corporate social responsibility,108
mobile phones,107
justice,107
online journalism,107
open government,106
soac 3,106
discrimination,106
television,106
aboriginal australians--economic conditions,106
natural disasters,106
labour supply,104
housing development,104
teachers,104
internet access,103
universities and colleges--study and teaching,103
design,102
defence,102
food,101
foreign aid,100
research--government policy,99
climatic changes--government policy,99
public housing,98
scholarly communication,97
social,96
screen and broadcasting,96
welfare economics,95
electricity--prices,95
data protection,95
cultural industries,94
arts and society,94
investments_foreign,94
soac 2,93
census,93
interpersonal relations,93
workforce participation,93
nutrition,93
roads,93
electric utilities,92
health care reform,91
regional disparities,91
physicians (general practice),90
constitutions,90
diabetes,90
history,90
war,90
water conservation,89
charities,89
property,89
manufacturing industries,89
ndis,88
markets,88
public service employment,88
cost and standard of living,88
consumer protection,88
hc-rt1,87
agricultural industries,87
digital divide,87
obesity,86
child care,86
health services accessibility,86
mental health services,86
public opinion,85
telecommunication,85
juvenile justice,84
ocean,84
households--economic aspects,84
aboriginal australians--legal status_laws_etc.,84
agricultural resources,84
education--research,83
newspapers,83
housing--planning,83
marine ecology,83
crime prevention,82
architecture,82
australia. parliament,82
suicide,81
gambling,81
data processing,81
prisoners,81
criminal statistics,81
treaties,80
fisheries,80
coal mines and mining,80
retirement income,80
gender,80
advertising,79
political campaigns,79
forests and forestry,79
mass media--ownership,79
greenhouse gas mitigation,79
lgbtiq,78
assault and battery,78
people with disabilities--services for,78
gender-based analysis,78
victims of family violence--services for,78
children--health,78
regional economics,77
foster home care,77
cultural policy,77
climate change,76
national electricity market (nem),76
globalisation,76
statistics,76
home ownership,76
income distribution,75
chronic diseases,75
legal services,75
criminal law,75
online social networks,75
sustainable buildings--design and construction,75
mental health promotion,74
refugee and asylum seeker policy,73
online/mobile/social,73
nuclear energy,73
artists,73
religion,73
households--energy consumption,73
research--management,73
nbn,72
australian communications regulation,71
media governance,71
acma annual report series,71
intellectual property,71
mobile technology,71
cultural awareness,71
education--economic aspects,71
electronic government information,71
child protection services,70
corporations--growth,70
community-based social services,70
wealth,69
health planning,69
australia. australian army,69
pacific islanders,69
economic development projects,69
maori (new zealand people),68
small business,67
relations with china,67
internet users,66
construction industry,66
academic writing,66
biodiversity conservation,66
research data,65
urban research program working paper series,65
freedom of information,65
international agencies,65
numeracy,65
training,65
immigrants--cultural assimilation,65
aboriginal australians--education,65
diet--health aspects,65
free trade,64
performing arts,64
disease management,64
gross domestic product,64
building industry,64
cyber intelligence (computer security),64
digital libraries,64
out-of-home care,63
community consultation,63
marketing,62
poor children,62
social sciences,62
databases,62
automobile industry and trade,62
cardiovascular system--diseases,61
mortality,61
fraud,61
medicine,61
wildfires,61
online information services,61
computer networks,61
research impact,60
alp policy,60
community health services,60
politicians,60
native title (australia),60
recidivism,60
emergency management,60
dementia,60
solar energy,60
gas industry,60
news web sites,60
innovation,59
healthy housing 2016,59
arts--citizen participation,59
computer security,59
violence--prevention,59
films,58
detention of persons,58
disability insurance,58
prison sentences,58
cald,57
ethics,57
political participation,57
pollution,57
language and languages,57
bullying,57
public hospitals,57
information literacy,57
competition and regulation,56
music,56
caregivers,56
consumer behavior,56
housing and health,56
tax reform,55
social innovation,55
business ethics,55
intelligence service,55
islam,55
global environmental change,55
structure,54
maternal and infant welfare,54
income tax,54
political corruption,54
freedom of speech,54
quality of work life,54
compulsive gambling,54
electronic publishing,54
environmental monitoring,54
australian productivity commission,53
socioeconomic status,53
transparency in government,53
social capital,53
industrial relations,53
emissions trading,53
social networks,53
marriage,53
public health--evaluation,53
hc-rt5,52
ethnicity,52
population ageing,52
group identity,52
telecommunication policy,52
technology and youth,52
tax planning,52
population density,52
homeless persons,52
illicit drug use,51
debt,51
government information,51
food industry and trade,51
real estate investment,51
environment,50
broadcasting,50
smoking,50
homosexuality,50
government aid to the arts,50
terrorism--prevention,50
museums,50
greenhouse gases,50
work environment,50
people with disabilities--government policy,50
forced migration,50
apprentices,49
retail trade,49
terrorism--government policy,49
maternal health services,49
muslims,49
pharmaceuticals,49
children_aboriginal australian,49
cultural institutions,48
coalition policy,48
surveillance,48
learning,48
bills_legislative,48
political donations,48
homicide,48
energy conservation,48
unions,48
patients,48
prices,48
economy,47
private rentals,47
sexual assault,47
mineral industries,47
digital media--social aspects,47
nationalism,47
television broadcasting policy,47
telecommunications and networks,46
open data,46
inclusion,46
aids (disease),46
adoption,46
employees,46
family services,46
libraries and society,46
public service delivery,45
visas,45
health promotion,45
firearms,45
volunteers,45
open spaces,45
business tax,45
affordable housing,44
voting,44
pensions,44
depression_mental,44
mental illness,44
internet service providers,44
rural development,44
electronic information resources,44
housing assistance,43
closing the gap,43
not for profit sector,43
national disability insurance scheme,43
fake news,43
foster children,43
community sector,43
risk management,43
medical sciences--research,43
humanities,43
carbon,43
public libraries,43
exports,43
environmental economics,43
indigenous constitutional recognition,42
ict,42
movement,42
environmental city,42
humanities--research,42
personal injuries,42
medical personnel,42
global warming,42
public broadcasting,42
archives,42
censorship,42
international law,42
recreation,42
facebook (electronic resource),42
media ownership,41
innovation and science policy report,41
human trafficking,41
households,41
economic assistance,41
educational tests and measurements,41
telecommunication systems,41
central-local government relations,41
infrastructure,40
asylum seekers,40
environmental,40
internet in public administration,40
racism,40
educational accountability,40
landlord and tenant,40
peace-building,40
drug abuse--treatment,40
internet governance,40
waste minimization,40
twitter,40
evidence-based policy,39
public sector,39
parliamentarians,39
digital inclusion,39
intimate partner violence (ipv),39
city governance,39
public opinion polls,39
health insurance,39
women--economic conditions,39
australian states--politics and government,39
competition--government policy,39
pregnancy,39
educational technology,39
aboriginal australians--housing,39
child care services,39
