Term ID,Term,No. of items
59941,NP1001,0
59946,NP1004,0
59951,NP2002,0
59956,NP2003,0
59961,NP2005,0
59966,NP2006,0
59971,NP4002,0
59976,NP4003,0
59981,NP4004,0
59986,NP4005,0
59991,NP4007,0
60161,Online programs,0
64616,Bill,0
66871,Reinvention,0
67906,PVT,0
69751,speculative vacancies,0
69766,convulsions,0
70101,industry specialisation,0
72686,fees and costs,0
91111,Base-of-the-Pyramid markets,0
96391,Gender-nonconforming people,0
97341,partial equilibrium analysis,0
98131,_collectionTerms,0
98606,Environmental security,0
99016,Indigenous women's business,0
99021,Assassination,0
99051,Persons as subjects,0
21205,Cancer in children,1
21946,Hacktivism,1
21982,Community radio,1
22849,Explanatory memoranda,1
33687,Speeches,1
51751,Weekend work,1
51886,Cluster analysis,1
52276,Trolls,1
52611,3G,1
52816,ad blocking,1
52821,Adam Goodes,1
52876,After-hours care,1
52881,After-tax performance,1
52916,agglomeration,1
52931,Aid for Trade,1
52961,algorithmic trading,1
53041,Amputee,1
53121,Antidepressents,1
53191,Autoregressive integrated moving average,1
53196,Arm's length principle,1
53261,Asian Britains,1
53286,Asset consultants,1
53491,autoimmune disease,1
53526,bacteria,1
53551,Bariatric surgery,1
53566,Bed wetting,1
53636,Biological age,1
53676,bitcoin,1
53686,Blackness,1
53706,Blood donation,1
53731,Bollywood,1
53746,Bone density,1
53766,Born-digital acquisitions,1
53781,brain differences,1
53786,brain-derived neurotrophic factor,1
53811,British migrants,1
53826,Broken home,1
53911,Business Owners,1
53926,calcium,1
53936,Camera phones,1
53956,capital adequacy,1
53961,capital buffer,1
53976,capital shortfall,1
54211,Childhood,1
54221,Children and privacy,1
54291,citizen stripping,1
54356,clinical decision tools,1
54381,Cloud,1
54436,Coeliac disease,1
54441,Cognitive behavioural therapy,1
54461,Collection,1
54501,commerical outcomes,1
54666,Personal computers,1
54671,computing,1
54676,Concrete,1
54681,Conditional welfare,1
54751,consumerism,1
54761,Container stevedoring,1
54776,continuous disclosure,1
54781,contractualism,1
54801,corporate income tax,1
54871,Country-by-Country reporting,1
54956,credit derivatives,1
54991,Crisis Communication,1
54996,cross-border banking,1
55006,Crossing the floor,1
55131,Customs Tariff Act 1995,1
55161,Cyberlaw,1
55246,Daylight saving,1
55276,Debt collectors,1
55346,defined benefits funds,1
55366,Delirium,1
55446,diamonds,1
55526,digital equality,1
55596,digital-born,1
55606,Dinosaurs,1
55651,discipline,1
55666,Dismissal,1
55711,Double dissolution,1
55721,Drink spiking,1
55796,dyslexia,1
55801,dysplasia,1
55836,ear nose and throat health,1
55916,Ebola,1
55966,Economic slump,1
55986,Econospeak,1
